artist,venue,date,emoji,summary,sounds_like,genre
Remi Wolf,Red Rocks Amphitheatre,2025-04-10,🍒,"Funky, maximalist pop chaos","Tierra Whack, Doja Cat",Pop & Indie Pop
Lady Lamb,Fort Collins Armory,2025-04-10,🦉,"Poetic, expansive indie rock","Big Thief, Torres",Pop & Indie Pop
Lady Lamb,Globe Hall,2025-04-11,🦉,"Poetic, expansive indie rock","Big Thief, Torres",Pop & Indie Pop
Parker Millsap,Ogden Theatre,2025-04-11,🪕,Roots-rock firestarter supporting Larkin Poe,"Shovels & Rope, Langhorne Slim","Folk, Country & Americana"
Sturgill Simpson,Mission Ballroom,2025-04-14,🎙️,Outlaw country meets psychedelic swagger,"Waylon Jennings, My Morning Jacket","Folk, Country & Americana"
DARKSIDE,Mission Ballroom,2025-04-16,🌑,Moody electronic rock duo bending space and sound,"Nicolas Jaar, Radiohead",Electronic & Experimental
Duff Thompson,TBD,2025-04-16,🌻,"Lo-fi, swampy Americana","Michael Nau, Daniel Johnston","Folk, Country & Americana"
Babehoven,Bluebird Theater,2025-04-16,🌙,Melancholy indie slowcore,"Hand Habits, Grouper",Pop & Indie Pop
Clap Your Hands Say Yeah,Bluebird Theater,2025-04-16,👏,Quirky indie with jittery hooks,"The Unicorns, Wolf Parade",Pop & Indie Pop
Gregory Alan Isakov,TBD,2025-04-17,🌾,Lush folk symphonies with the Colorado Symphony,"Iron & Wine, Sufjan Stevens","Folk, Country & Americana"
Sublime,Red Rocks Amphitheatre,2025-04-18,🏄,SoCal ska-punk vibes forever,"311, Slightly Stoopid",Rock & Alternative
The Tallest Man on Earth,Bluebird Music Festival,2025-04-19,🌲,Barebones folk with howling beauty,"Bob Dylan, José González","Folk, Country & Americana"
Mogwai,Ogden Theatre,2025-04-20,🌋,Towering post-rock crescendos,"Explosions in the Sky, Godspeed You! Black Emperor",Rock & Alternative
Fontaines D.C.,Mission Ballroom,2025-04-22,📣,Grimy Irish post-punk with poetry and spit,"IDLES, Shame",Rock & Alternative
Post Animal,Mission Ballroom,2025-04-23,🐾,Psych-pop with big fuzzy riffs,"Tame Impala, Twin Peaks",Rock & Alternative
Dawes,Ogden Theatre,2025-04-23,🌅,Laurel Canyon revivalists with heart,"The Band, Jackson Browne","Folk, Country & Americana"
The Velveteers,Bluebird Theater,2025-04-25,🦇,Denver-bred fuzz rock with primal punch,"Yeah Yeah Yeahs, Royal Blood",Rock & Alternative
Spiritual Cramp,Marquis Theater,2025-04-26,🧿,Snarling punk that bites back,"Ceremony, Turnstile",Rock & Alternative
Cryogeyser,Hi-Dive,2025-04-26,🥶,Shoegaze slow-burn with emotion,"Duster, DIIV",Rock & Alternative
L.A. WITCH,Hi-Dive,2025-04-27,🕸️,Dusty desert rock with witchy reverb,"The Black Angels, Shannon & The Clams",Rock & Alternative
Silversun Pickups,Aggie Theatre,2025-04-27,🌖,Anthemic alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Mikal Cronin,Gothic Theatre,2025-04-27,📀,Power-pop with fuzzy layers,"Ty Segall, Mac DeMarco",Rock & Alternative
Nada Surf,Bluebird Theater,2025-04-28,🌊,Emo-tinged indie with melodic highs,"Death Cab for Cutie, The Shins",Pop & Indie Pop
Godspeed You! Black Emperor,Ogden Theatre,2025-04-28,⚡,Apocalyptic instrumental post-rock,"Mogwai, Swans",Electronic & Experimental
Silversun Pickups,Boulder Theater,2025-04-28,🌘,Alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Superheaven,TBD,2025-04-29,🌀,Grunge revival that hits like a storm,"Basement, Title Fight",Rock & Alternative
Durand Bernarr,Gothic Theatre,2025-04-29,🎷,Playful and vulnerable R&B,"Frank Ocean, Anderson .Paak","Funk, Soul & Jazz"
Korine,Hi-Dive,2025-04-29,🧊,Darkwave with synth-pop polish,"Cold Cave, Drab Majesty",Electronic & Experimental
Nada Surf,Fox Theatre,2025-04-29,🌊,Emo-tinged indie with melodic highs,"Death Cab for Cutie, The Shins",Pop & Indie Pop
Silversun Pickups,Black Sheep,2025-04-29,🌗,Alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Jason Isbell,Sunset Amphitheater,2025-04-30,🎸,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
Deafheaven,Gothic Theatre,2025-04-30,🌒,Blackgaze firestorms and tenderness,"Alcest, Explosions in the Sky",Rock & Alternative
Dummy,Hi-Dive,2025-04-30,🧪,"Motorik, spacey lo-fi noise-pop","Stereolab, Spacemen 3",Electronic & Experimental
Trauma Ray,Gothic Theatre,2025-04-30,🩸,Shoegaze turned all the way up,"Nothing, Whirr",Rock & Alternative
STRFKR,Red Rocks Amphitheatre,2025-04-03,🚀,Indie-electro pop that shimmers under the stars,"Passion Pit, MGMT",Pop & Indie Pop
Alex Lahey,Aggie Theatre,2025-04-04,🎤,"Hooky, heartfelt Aussie rock","Courtney Barnett, Liz Phair",Rock & Alternative
Shakey Graves,Mission Ballroom,2025-04-04,🤠,Gravelly alt-folk with flair,"The Lone Bellow, Houndmouth","Folk, Country & Americana"
Baths,Marquis Theater,2025-04-05,🧼,Glitchy art-pop that’s both tender and danceable,"James Blake, Son Lux",Electronic & Experimental
Alex Lahey,Meow Wolf Denver | Convergence Station,2025-04-05,🎸,"Hooky, heartfelt Aussie rock","Courtney Barnett, Liz Phair",Rock & Alternative
Alice Phoebe Lou,Red Rocks Amphitheatre,2025-04-10,✨,Indie-folk with cosmic charm,"Angel Olsen, Lianne La Havas",Pop & Indie Pop
Remi Wolf,Red Rocks Amphitheatre,2025-04-10,🍒,"Funky, maximalist pop chaos","Tierra Whack, Doja Cat",Pop & Indie Pop
Lady Lamb,Fort Collins Armory,2025-04-10,🦉,"Poetic, expansive indie rock","Big Thief, Torres",Pop & Indie Pop
Lady Lamb,Globe Hall,2025-04-11,🦉,"Poetic, expansive indie rock","Big Thief, Torres",Pop & Indie Pop
Parker Millsap,Ogden Theatre,2025-04-11,🪕,Roots-rock firestarter supporting Larkin Poe,"Shovels & Rope, Langhorne Slim","Folk, Country & Americana"
Sturgill Simpson,Mission Ballroom,2025-04-14,🎙️,Outlaw country meets psychedelic swagger,"Waylon Jennings, My Morning Jacket","Folk, Country & Americana"
DARKSIDE,Mission Ballroom,2025-04-16,🌑,Moody electronic rock duo bending space and sound,"Nicolas Jaar, Radiohead",Electronic & Experimental
Duff Thompson,TBD,2025-04-16,🌻,"Lo-fi, swampy Americana","Michael Nau, Daniel Johnston","Folk, Country & Americana"
Babehoven,Bluebird Theater,2025-04-16,🌙,Melancholy indie slowcore,"Hand Habits, Grouper",Pop & Indie Pop
Clap Your Hands Say Yeah,Bluebird Theater,2025-04-16,👏,Quirky indie with jittery hooks,"The Unicorns, Wolf Parade",Pop & Indie Pop
Gregory Alan Isakov,TBD,2025-04-17,🌾,Lush folk symphonies with the Colorado Symphony,"Iron & Wine, Sufjan Stevens","Folk, Country & Americana"
Sublime,Red Rocks Amphitheatre,2025-04-18,🏄,SoCal ska-punk vibes forever,"311, Slightly Stoopid",Rock & Alternative
The Tallest Man on Earth,Bluebird Music Festival,2025-04-19,🌲,Barebones folk with howling beauty,"Bob Dylan, José González","Folk, Country & Americana"
Mogwai,Ogden Theatre,2025-04-20,🌋,Towering post-rock crescendos,"Explosions in the Sky, Godspeed You! Black Emperor",Rock & Alternative
Fontaines D.C.,Mission Ballroom,2025-04-22,📣,Grimy Irish post-punk with poetry and spit,"IDLES, Shame",Rock & Alternative
Post Animal,Mission Ballroom,2025-04-23,🐾,Psych-pop with big fuzzy riffs,"Tame Impala, Twin Peaks",Rock & Alternative
Dawes,Ogden Theatre,2025-04-23,🌅,Laurel Canyon revivalists with heart,"The Band, Jackson Browne","Folk, Country & Americana"
The Velveteers,Bluebird Theater,2025-04-25,🦇,Denver-bred fuzz rock with primal punch,"Yeah Yeah Yeahs, Royal Blood",Rock & Alternative
Spiritual Cramp,Marquis Theater,2025-04-26,🧿,Snarling punk that bites back,"Ceremony, Turnstile",Rock & Alternative
Cryogeyser,Hi-Dive,2025-04-26,🥶,Shoegaze slow-burn with emotion,"Duster, DIIV",Rock & Alternative
L.A. WITCH,Hi-Dive,2025-04-27,🕸️,Dusty desert rock with witchy reverb,"The Black Angels, Shannon & The Clams",Rock & Alternative
Silversun Pickups,Aggie Theatre,2025-04-27,🌖,Anthemic alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Mikal Cronin,Gothic Theatre,2025-04-27,📀,Power-pop with fuzzy layers,"Ty Segall, Mac DeMarco",Rock & Alternative
Nada Surf,Bluebird Theater,2025-04-28,🌊,Emo-tinged indie with melodic highs,"Death Cab for Cutie, The Shins",Pop & Indie Pop
Godspeed You! Black Emperor,Ogden Theatre,2025-04-28,⚡,Apocalyptic instrumental post-rock,"Mogwai, Swans",Electronic & Experimental
Silversun Pickups,Boulder Theater,2025-04-28,🌘,Alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Superheaven,TBD,2025-04-29,🌀,Grunge revival that hits like a storm,"Basement, Title Fight",Rock & Alternative
Durand Bernarr,Gothic Theatre,2025-04-29,🎷,Playful and vulnerable R&B,"Frank Ocean, Anderson .Paak","Funk, Soul & Jazz"
Korine,Hi-Dive,2025-04-29,🧊,Darkwave with synth-pop polish,"Cold Cave, Drab Majesty",Electronic & Experimental
Nada Surf,Fox Theatre,2025-04-29,🌊,Emo-tinged indie with melodic highs,"Death Cab for Cutie, The Shins",Pop & Indie Pop
Silversun Pickups,Black Sheep,2025-04-29,🌗,Alt-rock with shoegaze shimmer,"Smashing Pumpkins, M83",Rock & Alternative
Jason Isbell,Sunset Amphitheater,2025-04-30,🎸,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
Deafheaven,Gothic Theatre,2025-04-30,🌒,Blackgaze firestorms and tenderness,"Alcest, Explosions in the Sky",Rock & Alternative
Dummy,Hi-Dive,2025-04-30,🧪,"Motorik, spacey lo-fi noise-pop","Stereolab, Spacemen 3",Electronic & Experimental
Trauma Ray,Gothic Theatre,2025-04-30,🩸,Shoegaze turned all the way up,"Nothing, Whirr",Rock & Alternative
